70 265.754272 192.168.1.9 1164 216.40.32.46 80 424 4 3 143 4 3 567 8 265.865417 0.111145 S2F1G0 -789644 187
71 265.795959 192.168.1.9 1165 216.40.32.46 80 416 5 4 143 4 3 559 9 265.896301 0.100342 S2F1G0 -789685 187
72 277.733704 192.168.1.9 1166 216.40.32.46 80 1188 10 9 7842 7 1 9030 17 277.924011 0.190308 S2F1G0 -801538 7300
73 278.408325 192.168.1.9 1167 216.40.32.46 80 434 4 3 144 4 3 578 8 278.538147 0.129822 S2F1G0 -802212 188
74 283.105835 192.168.1.9 1169 216.187.94.180 80 1120 7 4 1493 5 3 2613 12 283.215820 0.109985 S2F1G0 -806879 1549
75 283.416016 192.168.1.9 1170 216.187.94.180 80 -2001 202 201 371846 259 2 369845 461 287.203888 3.787872 S2F1G0 -807186 346020
76 294.210205 192.168.1.9 1171 136.159.5.59 80 949 10 7 1666 5 3 2615 15 294.797974 0.587769 S5F1G0 -817899 1722
77 295.051605 192.168.1.9 1172 136.159.5.59 80 363 4 3 388 4 3 751 8 295.078186 0.026581 S2F1G0 -818731 432
78 295.059845 192.168.1.9 1173 136.159.5.59 80 362 4 3 456 4 3 818 8 295.087585 0.027740 S2F1G0 -818740 500
79 295.474915 192.168.1.9 1174 136.159.5.59 80 756 5 3 469 4 3 1225 9 295.655243 0.180328 S2F1G0 -819155 513
80 295.912537 192.168.1.9 1175 136.159.5.59 80 364 4 3 465 4 3 829 8 295.934509 0.021973 S2F1G0 -819593 509
81 297.973816 192.168.1.9 1176 136.159.5.59 80 398 4 3 537 4 3 935 8 298.016937 0.043121 S2F1G0 -821639 581
82 303.372986 192.168.1.9 1177 136.159.5.59 80 283 6 5 1666 5 3 1949 11 303.876404 0.503418 S2F1G0 -827001 1722
83 321.255066 192.168.1.9 1178 136.159.5.59 80 485 4 3 138 4 3 623 8 321.287567 0.032501 S2F1G0 -844696 182
84 330.429260 192.168.1.9 1179 136.159.5.59 80 285 5 4 1535 5 3 1820 10 330.906830 0.477570 S2F1G0 -853832 1591
